City,Bedrooms,Building Area (m²),Land Area (m²),Price
tangerang,4,95,66,2040000000
tangerang,4,134,149,3300000000
tangerang,3,101,84,2150000000
tangerang,3,75,90,1350000000
tangerang,4,189,126,3900000000
tangerang,3,54,60,1100000000
tangerang,2,44,72,1490000000
tangerang,2,45,108,1500000000
tangerang,4,200,136,2950000000
tangerang,2,70,72,949000000
tangerang,4,203,288,7250000000
tangerang,1,57,48,1050000000
tangerang,5,200,135,3550000000
tangerang,3,60,74,1600000000
tangerang,5,150,120,3500000000
tangerang,3,125,72,5350000000
tangerang,2,45,56,1500000000
tangerang,4,315,228,6500000000
tangerang,4,315,228,6700000000
tangerang,4,198,128,4200000000
tangerang,3,117,105,1900000000
tangerang,3,132,121,2400000000
tangerang,3,76,63,1550000000
tangerang,4,99,70,1950000000
tangerang,3,130,104,2500000000
tangerang,3,160,90,2000000000
tangerang,3,220,170,5400000000
tangerang,4,134,149,3400000000
tangerang,4,191,180,3000000000
tangerang,5,600,250,9000000000
tangerang,2,41,32,750000000
tangerang,5,135,100,1850000000
tangerang,4,195,144,3300000000
tangerang,3,250,326,6300000000
tangerang,4,132,122,2500000000
tangerang,5,145,70,2800000000
tangerang,4,204,144,5330000000
tangerang,5,158,128,3700000000
tangerang,3,85,72,2250000000
tangerang,4,125,126,2500000000
tangerang,4,350,250,8000000000
tangerang,3,111,246,4200000000
tangerang,3,90,72,1700000000
tangerang,4,170,250,5500000000
tangerang,4,412,240,11710000000
tangerang,3,120,136,2450000000
tangerang,3,120,135,2700000000
tangerang,4,194,162,5800000000
tangerang,3,88,84,2000000000
tangerang,6,300,204,5500000000
tangerang,3,114,152,2800000000
tangerang,3,125,72,2040000000
tangerang,1,57,48,1050000000
tangerang,2,30,96,890000000
tangerang,3,160,119,2700000000
tangerang,2,72,56,1750000000
tangerang,3,114,152,2800000000
tangerang,3,80,108,2390000000
tangerang,3,114,152,2800000000
tangerang,3,220,170,5400000000
tangerang,3,114,105,1800000000
tangerang,4,99,70,1950000000
tangerang,3,120,84,2700000000
tangerang,3,220,170,5400000000
tangerang,4,155,144,4200000000
tangerang,2,120,84,2300000000
tangerang,3,114,105,1800000000
tangerang,3,220,170,5400000000
tangerang,3,114,152,2800000000
tangerang,1,57,48,1050000000
tangerang,2,250,1005,6000000000
tangerang,3,114,105,1800000000
tangerang,1,57,48,1050000000
tangerang,1,57,48,1050000000
tangerang,5,500,300,8000000000
tangerang,1,57,48,1050000000
tangerang,3,170,220,5400000000
tangerang,5,450,505,12500000000
tangerang,2,52,48,1380000000
tangerang,3,100,84,1850000000
tangerang,3,220,170,5400000000
tangerang,3,135,112,2950000000
tangerang,4,200,153,3500000000
tangerang,2,130,80,2400000000
tangerang,2,73,63,1450000000
tangerang,3,500,448,11800000000
tangerang,4,160,119,2400000000
tangerang,4,97,119,2300000000
tangerang,5,182,170,3700000000
tangerang,5,176,144,3500000000
tangerang,5,235,289,5800000000
tangerang,2,68,66,2200000000
tangerang,5,405,238,6700000000
tangerang,4,113,120,2500000000
tangerang,4,156,121,2550000000
tangerang,2,88,72,1900000000
tangerang,3,90,118,3260000000
tangerang,4,133,126,2200000000
tangerang,5,225,286,5400000000
tangerang,5,166,144,4200000000
tangerang,4,174,180,3800000000
tangerang,5,200,180,4200000000
tangerang,5,193,223,4300000000
tangerang,2,53,48,990000000
tangerang,4,160,136,2700000000
tangerang,4,125,72,2400000000
tangerang,3,101,84,2150000000
tangerang,3,107,105,2400000000
tangerang,4,189,128,4500000000
tangerang,3,72,72,1520000000
tangerang,4,108,63,1700000000
tangerang,3,191,180,3200000000
tangerang,5,160,136,2950000000
tangerang,4,130,112,3000000000
tangerang,3,88,84,2150000000
tangerang,3,177,103,3600000000
tangerang,4,134,120,3250000000
tangerang,5,134,149,3500000000
tangerang,3,60,52,1100000000
tangerang,5,210,180,4000000000
tangerang,4,200,202,3900000000
tangerang,2,72,60,1550000000
tangerang,4,114,126,2500000000
tangerang,3,97,119,2100000000
tangerang,2,69,84,1850000000
tangerang,4,130,80,2100000000
tangerang,4,130,118,3500000000
tangerang,4,487,479,25040000000
tangerang,5,192,162,3700000000
tangerang,3,120,84,2250000000
tangerang,3,88,88,1850000000
tangerang,3,107,105,1850000000
tangerang,3,200,120,3450000000
tangerang,4,196,240,6250000000
tangerang,5,192,162,3800000000
tangerang,4,167,163,3400000000
tangerang,3,78,98,2200000000
tangerang,5,159,210,3900000000
tangerang,4,160,128,2900000000
tangerang,5,200,156,3150000000
tangerang,3,120,69,1650000000
tangerang,3,101,84,1950000000
tangerang,3,150,121,3850000000
tangerang,4,192,128,4360000000
tangerang,2,45,119,904060000
tangerang,3,150,128,2850000000
tangerang,5,192,120,4200000000
tangerang,4,454,300,6200000000
tangerang,3,84,66,1690000000
tangerang,3,250,216,5300000000
tangerang,5,204,144,4900000000
tangerang,4,174,144,5000000000
tangerang,4,237,150,5890000000
tangerang,4,144,84,3450000000
tangerang,4,126,98,2390000000
tangerang,4,218,144,5230000000
tangerang,3,62,62,871630000
tangerang,3,53,48,900000000
