City,Bedrooms,Building Area (m²),Land Area (m²),Price
tangerang,3,72,72,590000000
tangerang,2,90,160,985000000
tangerang,4,230,136,3000000000
tangerang,5,215,198,1100000000
tangerang,3,79,66,900000000
tangerang,2,100,60,700000000
tangerang,2,49,60,959000000
tangerang,3,55,120,1000000000
tangerang,2,60,72,750000000
tangerang,2,48,72,700000000
tangerang,2,27,63,610000000
tangerang,3,84,74,760000000
tangerang,2,44,84,750000000
tangerang,3,119,105,1350000000
tangerang,4,218,316,2500000000
tangerang,3,47,90,720000000
tangerang,4,200,128,1550000000
tangerang,4,170,200,1800000000
tangerang,2,54,72,400000000
tangerang,4,90,90,1200000000
tangerang,4,170,136,1300000000
tangerang,4,300,564,1500000000
tangerang,5,138,146,2660000000
tangerang,3,82,100,570000000
tangerang,3,92,75,1180000000
tangerang,4,180,120,1250000000
tangerang,3,92,75,1350000000
tangerang,2,84,84,730000000
tangerang,3,120,167,950000000
tangerang,4,250,216,3350000000
tangerang,3,124,54,949000000
tangerang,3,75,90,920000000
tangerang,4,300,240,3700000000
tangerang,4,120,120,800000000
tangerang,3,90,90,675000000
tangerang,3,60,72,525000000
tangerang,2,72,72,400000000
tangerang,3,72,72,415000000
tangerang,4,113,128,1600000000
tangerang,4,140,120,1300000000
tangerang,2,40,97,800000000
tangerang,2,50,72,430000000
tangerang,3,120,112,1500000000
tangerang,5,150,308,2400000000
tangerang,2,72,72,450000000
tangerang,2,72,90,825000000
tangerang,4,170,200,1900000000
tangerang,2,90,119,750000000
tangerang,3,134,180,1780000000
tangerang,3,87,60,870000000
tangerang,4,203,240,2400000000
tangerang,5,150,63,980000000
tangerang,5,132,112,2100000000
tangerang,3,112,112,970000000
tangerang,5,132,191,2500000000
tangerang,4,135,110,800000000
tangerang,3,115,105,1400000000
tangerang,2,60,60,700000000
tangerang,2,45,158,500000000
tangerang,3,102,102,820000000
tangerang,4,90,144,1500000000
tangerang,3,68,90,750000000
tangerang,4,233,200,3300000000
tangerang,3,45,81,625000000
tangerang,3,55,81,625000000
tangerang,3,160,180,1300000000
tangerang,2,26,60,535000000
tangerang,2,90,160,1600000000
tangerang,3,200,174,2000000000
tangerang,2,55,72,490000000
tangerang,3,126,132,1330000000
tangerang,4,140,110,1200000000
tangerang,4,157,135,1900000000
tangerang,2,50,60,390000000
tangerang,2,42,115,600000000
tangerang,4,240,179,2100000000
tangerang,3,145,180,1500000000
tangerang,2,65,72,650000000
tangerang,2,45,108,900000000
tangerang,5,150,60,1850000000
tangerang,1,120,120,375000000
tangerang,2,55,96,575000000
tangerang,2,54,102,590000000
tangerang,3,60,60,400000000
tangerang,3,100,72,975000000
tangerang,4,150,100,1200000000
tangerang,3,68,102,950000000
tangerang,2,72,72,625000000
tangerang,2,72,72,500000000
tangerang,2,72,72,400000000
tangerang,1,50,72,400000000
tangerang,7,623,763,5500000000
tangerang,3,248,179,2100000000
tangerang,5,150,63,2500000000
tangerang,4,233,200,3300000000
tangerang,3,72,72,900000000
tangerang,3,72,96,750000000
tangerang,3,55,72,525000000
tangerang,2,48,60,600000000
tangerang,2,36,90,850000000
tangerang,2,50,70,550000000
tangerang,2,55,84,500000000
tangerang,2,45,72,625000000
tangerang,2,47,96,700000000
tangerang,1,90,90,775000000
tangerang,3,126,132,1390000000
tangerang,2,27,60,350000000
tangerang,2,42,90,690000000
tangerang,3,72,72,460000000
tangerang,2,45,90,600000000
tangerang,2,72,90,650000000
tangerang,3,81,81,600000000
tangerang,2,26,60,495000000
tangerang,4,108,108,750000000
tangerang,2,80,89,750000000
tangerang,2,46,102,595000000
tangerang,3,60,81,525000000
tangerang,3,60,60,725000000
tangerang,2,81,81,525000000
tangerang,2,72,72,500000000
tangerang,3,100,100,570000000
tangerang,4,112,96,1200000000
tangerang,3,140,136,2350000000
tangerang,4,108,108,750000000
tangerang,3,101,136,1200000000
tangerang,3,101,136,1400000000
tangerang,3,110,73,770000000
tangerang,3,105,72,680000000
tangerang,5,215,198,1200000000
tangerang,3,72,60,520000000
tangerang,3,150,120,1200000000
tangerang,3,100,66,600000000
tangerang,4,120,160,1500000000
tangerang,4,135,128,1550000000
tangerang,3,79,66,1080000000
tangerang,3,164,158,1200000000
tangerang,4,112,96,1400000000
tangerang,3,69,180,1400000000
tangerang,2,36,72,485000000
tangerang,3,60,60,725000000
tangerang,2,54,72,750000000
tangerang,2,81,81,550000000
tangerang,2,72,72,350000000
tangerang,2,29,72,600000000
tangerang,2,41,84,600000000
tangerang,3,81,162,790000000
tangerang,2,42,60,400000000
tangerang,4,101,136,1400000000
tangerang,2,95,102,900000000
tangerang,3,77,120,1100000000
tangerang,2,90,90,900000000
tangerang,4,107,102,1650000000
tangerang,3,150,100,1200000000
tangerang,3,160,200,1500000000
tangerang,3,150,347,3300000000
tangerang,5,126,126,1250000000
tangerang,2,72,72,400000000
tangerang,4,100,100,975000000
tangerang,3,60,81,625000000
tangerang,2,72,72,330000000
tangerang,3,170,200,2049999999
tangerang,2,71,119,780000000
tangerang,3,92,75,1180000000
tangerang,3,79,177,1200000000
tangerang,3,134,180,1650000000
tangerang,4,225,300,2650000000
tangerang,4,108,160,2100000000
tangerang,2,46,102,750000000
tangerang,3,140,90,1150000000
tangerang,3,135,135,950000000
tangerang,2,75,90,700000000
tangerang,2,40,75,875000000
tangerang,3,82,126,1400000000
tangerang,2,60,96,950000000
tangerang,2,60,72,360000000
tangerang,2,50,96,895000000
tangerang,2,55,72,420000000
tangerang,3,72,60,550000000
tangerang,4,316,420,3900000000
tangerang,3,60,72,560000000
tangerang,3,65,72,650000000
tangerang,3,79,66,800000000
tangerang,4,200,120,1700000000
tangerang,2,46,102,750000000
tangerang,4,130,100,1000000000
tangerang,4,140,100,1000000000
tangerang,4,120,90,950000000
tangerang,4,166,72,2300000000
tangerang,3,170,200,1980000000
tangerang,2,34,108,1000000000
tangerang,2,42,110,650000000
tangerang,2,84,136,850000000
tangerang,2,37,75,650000000
tangerang,2,46,102,650000000
tangerang,3,113,160,1900000000
tangerang,3,89,102,1080000000
tangerang,7,90,105,2500000000
tangerang,2,62,119,720500000
tangerang,2,26,60,650000000
tangerang,2,36,90,365000000
tangerang,4,152,200,2700000000
tangerang,2,54,160,975000000
tangerang,3,84,136,900000000
tangerang,2,77,119,750000000
tangerang,5,101,84,1250000000
tangerang,2,76,96,625000000
tangerang,2,60,84,550000000
tangerang,3,132,120,1580000000
tangerang,3,116,105,1350000000
tangerang,4,101,132,1950000000
tangerang,2,47,120,850000000
tangerang,4,115,160,1500000000
tangerang,4,105,80,1150000000
tangerang,2,27,60,350000000
tangerang,3,120,100,770000000
tangerang,3,84,176,1150000000
tangerang,3,157,180,2000000000
tangerang,2,46,102,650000000
tangerang,4,80,105,1200000000
tangerang,4,101,84,1500000000
tangerang,2,100,90,650000000
tangerang,2,55,102,650000000
tangerang,2,46,102,670000000
tangerang,2,47,128,700000000
tangerang,3,105,119,1400000000
tangerang,2,72,119,750000000
tangerang,2,87,136,900000000
tangerang,2,90,102,990000000
tangerang,3,139,180,1700000000
tangerang,2,40,119,558000000
tangerang,2,34,60,595000000
tangerang,3,112,112,985000000
tangerang,3,117,160,1500000000
tangerang,2,80,102,890000000
tangerang,4,93,110,1200000000
tangerang,3,89,102,1080000000
tangerang,3,105,119,1400000000
tangerang,3,126,90,1400000000
tangerang,2,75,60,900000000
tangerang,4,160,190,2100000000
tangerang,2,46,102,630000000
tangerang,3,100,76,780000000
tangerang,3,115,128,1150000000
tangerang,2,29,72,575000000
tangerang,3,80,90,850000000
tangerang,3,60,81,550000000
tangerang,4,115,160,1450000000
tangerang,2,46,102,690000000
tangerang,3,135,160,1500000000
tangerang,4,120,90,1300000000
tangerang,5,316,420,4500000000
tangerang,4,150,63,1100000000
tangerang,3,43,96,685000000
tangerang,3,100,72,745000000
tangerang,3,139,180,1630000000
tangerang,2,35,72,475000000
tangerang,2,49,96,720000000
tangerang,3,150,144,1600000000
tangerang,2,40,105,1050000000
tangerang,3,80,90,450000000
tangerang,4,93,117,1400000000
tangerang,2,32,68,450000000
tangerang,3,112,128,1400000000
tangerang,2,42,110,735000000
tangerang,4,400,420,3900000000
tangerang,2,84,102,800000000
tangerang,3,99,136,1100000000
tangerang,2,84,160,950000000
tangerang,3,117,160,1600000000
tangerang,3,40,72,550000000
tangerang,3,70,85,600000000
tangerang,2,83,119,980000000
tangerang,4,120,90,1000000000
tangerang,2,75,75,450000000
tangerang,2,50,96,850000000
tangerang,3,130,180,1500000000
tangerang,2,26,60,560000000
tangerang,4,118,160,1600000000
tangerang,3,79,66,835000000
tangerang,4,150,160,3500000000
tangerang,2,46,102,770000000
tangerang,4,200,170,2000000000
tangerang,3,79,66,775000000
tangerang,2,26,119,745000000
tangerang,2,71,119,880000000
tangerang,3,135,120,1200000000
tangerang,3,140,160,1800000000
tangerang,2,51,96,850000000
tangerang,3,190,160,1900000000
tangerang,4,205,284,3200000000
tangerang,3,100,120,1000000000
tangerang,3,60,72,580000000
tangerang,2,84,136,959000000
tangerang,3,68,65,900000000
tangerang,3,89,102,1080000000
tangerang,3,90,106,725000000
tangerang,4,120,100,900000000
tangerang,3,95,84,600000000
tangerang,3,200,102,1250000000
tangerang,5,160,132,1300000000
tangerang,5,200,300,2600000000
tangerang,4,208,300,3500000000
tangerang,3,136,180,2000000000
tangerang,3,112,96,1180000000
tangerang,2,84,136,860000000
tangerang,2,72,119,730000000
tangerang,2,46,102,670000000
tangerang,4,115,128,2500000000
tangerang,3,130,180,2300000000
tangerang,2,42,102,750000000
tangerang,2,26,60,495000000
tangerang,4,101,84,975000000
tangerang,3,79,66,750000000
tangerang,2,45,103,485000000
tangerang,2,80,136,850000000
tangerang,4,130,77,1200000000
tangerang,3,136,134,1550000000
tangerang,3,180,120,1400000000
tangerang,4,157,135,1830000000
tangerang,3,115,128,1150000000
tangerang,4,150,63,1100000000
tangerang,2,32,72,550000000
tangerang,2,84,160,1200000000
tangerang,2,46,102,800000000
tangerang,3,116,128,1130000000
tangerang,3,56,72,595000000
tangerang,3,115,160,1700000000
tangerang,4,103,84,1200000000
tangerang,4,166,72,1600000000
tangerang,2,42,114,575000000
tangerang,3,69,90,875000000
tangerang,3,72,72,575000000
tangerang,3,115,160,1400000000
tangerang,3,115,160,2700000000
tangerang,4,120,90,1100000000
tangerang,3,79,66,870000000
tangerang,2,48,120,850000000
tangerang,3,80,120,795000000
tangerang,4,240,180,1530000000
tangerang,2,72,72,490000000
tangerang,5,232,237,2600000000
tangerang,3,112,96,1500000000
tangerang,4,150,140,1500000000
tangerang,3,112,112,750000000
tangerang,4,170,120,1250000000
tangerang,2,60,133,500000000
tangerang,2,47,102,610000000
tangerang,2,46,96,780000000
tangerang,4,150,110,1180000000
tangerang,3,90,120,750000000
tangerang,4,168,160,1400000000
tangerang,3,200,160,2100000000
tangerang,2,47,128,700000000
tangerang,2,119,119,780000000
tangerang,4,120,84,825000000
tangerang,3,72,72,595000000
tangerang,3,120,120,1100000000
tangerang,3,84,77,890000000
tangerang,2,80,102,780000000
tangerang,3,95,84,600000000
tangerang,2,35,84,550000000
tangerang,3,90,90,1450000000
tangerang,4,120,90,1050000000
tangerang,2,45,90,750000000
tangerang,2,58,63,875000000
tangerang,2,72,72,550000000
tangerang,3,79,88,1050000000
tangerang,3,115,160,1200000000
tangerang,2,28,60,184900000
tangerang,2,60,96,950000000
tangerang,3,72,84,1900000000
tangerang,3,180,180,1700000000
tangerang,3,37,90,590000000
tangerang,3,86,126,1050000000
tangerang,2,60,81,620000000
tangerang,2,65,96,650000000
tangerang,4,203,240,3150000000
tangerang,2,37,75,650000000
tangerang,3,125,110,1150000000
tangerang,5,135,136,1300000000
tangerang,3,70,81,675000000
tangerang,2,65,90,700000000
tangerang,4,140,100,1030000000
tangerang,3,91,72,795000000
tangerang,4,272,160,2900000000
tangerang,2,55,96,485000000
tangerang,2,45,90,575000000
tangerang,2,102,102,770000000
tangerang,2,27,60,185000000
tangerang,3,60,65,1000000000
tangerang,4,150,119,1500000000
tangerang,2,28,60,800000000
tangerang,5,300,300,8000000000
tangerang,2,41,84,485000000
tangerang,2,90,90,750000000
tangerang,2,58,63,860000000
tangerang,3,72,72,500000000
tangerang,3,112,112,975000000
tangerang,2,138,120,850000000
tangerang,2,48,72,750000000
tangerang,2,105,81,700000000
tangerang,4,150,90,1200000000
tangerang,2,60,60,420000000
tangerang,3,135,180,1550000000
tangerang,3,60,60,346500000
tangerang,4,124,54,880000000
tangerang,3,68,65,1000000000
tangerang,2,66,90,600000000
tangerang,2,120,120,650000000
tangerang,2,30,120,450000000
tangerang,2,43,90,650000000
tangerang,2,75,102,690000000
tangerang,3,135,128,1250000000
tangerang,2,36,72,410000000
tangerang,3,79,66,900000000
tangerang,5,233,200,3600000000
tangerang,3,50,60,450000000
tangerang,2,81,81,400000000
tangerang,2,29,60,185000000
tangerang,3,150,200,1500000000
tangerang,3,144,144,1100000000
tangerang,3,60,72,525000000
tangerang,1,72,72,550000000
tangerang,4,124,54,1100000000
tangerang,2,72,72,520000000
tangerang,3,90,106,780000000
tangerang,5,250,135,1900000000
tangerang,2,72,72,450000000
tangerang,5,166,72,1300000000
tangerang,2,71,119,730000000
tangerang,4,120,120,750000000
tangerang,3,60,72,537000000
tangerang,3,128,96,650000000
tangerang,2,60,90,600000000
tangerang,2,54,81,525000000
tangerang,3,79,66,970000000
tangerang,3,135,160,1500000000
tangerang,2,42,115,600000000
tangerang,2,30,60,185000000
tangerang,2,48,120,800000000
tangerang,2,50,72,450000000
tangerang,2,50,72,535000000
tangerang,3,99,136,900000000
tangerang,3,116,105,1400000000
tangerang,2,36,96,590000000
tangerang,2,45,96,575000000
tangerang,3,115,160,2100000000
tangerang,2,72,72,400000000
tangerang,4,150,119,1600000000
tangerang,5,101,108,1100000000
tangerang,5,150,63,1200000000
tangerang,2,100,119,750000000
tangerang,3,60,72,450000000
tangerang,2,72,72,490000000
tangerang,2,45,84,825000000
tangerang,2,96,49,900000000
tangerang,4,140,100,1000000000
tangerang,4,93,77,1100000000
tangerang,4,124,54,1350000000
tangerang,2,34,115,875000000
tangerang,4,97,77,1300000000
tangerang,2,90,72,550000000
tangerang,2,54,72,553000000
tangerang,2,55,72,400000000
tangerang,2,33,72,900000000
tangerang,3,50,72,450000000
tangerang,3,140,200,1900000000
tangerang,3,65,96,875000000
tangerang,4,240,240,2700000000
tangerang,4,97,77,1750000000
tangerang,3,71,119,700000000
tangerang,4,166,72,1700000000
tangerang,4,93,120,1180000000
tangerang,2,42,102,780000000
tangerang,3,120,135,1100000000
tangerang,4,130,100,1180000000
tangerang,2,136,200,2650000000
tangerang,4,130,120,1190000000
tangerang,3,140,105,1250000000
tangerang,3,72,112,850000000
tangerang,2,60,96,585000000
tangerang,3,102,89,1080000000
tangerang,3,152,96,1200000000
tangerang,4,112,112,750000000
tangerang,2,45,72,680000000
tangerang,2,80,121,830000000
tangerang,4,192,85,3600000000
tangerang,2,72,48,1590000000
tangerang,4,135,77,1900000000
tangerang,4,135,196,2880000000
tangerang,3,165,165,2330000000
tangerang,5,160,144,2990000000
tangerang,3,78,90,2440000000
tangerang,3,138,120,1330000000
tangerang,3,56,96,1630000000
tangerang,2,54,90,940000000
tangerang,4,140,80,2210000000
tangerang,3,74,72,1770000000
tangerang,2,90,179,1990000000
tangerang,2,66,62,1090000000
tangerang,3,105,60,1330000000
tangerang,2,60,60,360000000
tangerang,6,200,260,1880000000
tangerang,4,166,120,1880000000
tangerang,2,60,124,890000000
tangerang,5,124,124,1750000000
tangerang,4,225,84,2330000000
tangerang,5,134,108,1880000000
tangerang,3,120,169,1900000000
tangerang,2,36,72,940000000
tangerang,4,100,120,1770000000
tangerang,3,90,132,1660000000
tangerang,2,70,102,1660000000
tangerang,4,191,120,2190000000
tangerang,3,128,128,1770000000
tangerang,3,88,53,1180000000
tangerang,2,77,77,1000000000
tangerang,6,450,510,2550000000
tangerang,3,120,120,1660000000
tangerang,10,300,183,2210000000
tangerang,3,120,80,1460000000
tangerang,2,42,60,820000000
tangerang,2,84,102,1050000000
tangerang,3,200,180,2770000000
tangerang,3,86,63,1920000000
tangerang,2,195,195,1880000000
tangerang,2,48,72,940000000
tangerang,3,144,64,1390000000
tangerang,2,108,156,1390000000
tangerang,3,184,191,3680000000
tangerang,3,84,121,890000000
tangerang,6,200,120,3070000000
tangerang,3,144,140,1610000000
tangerang,2,32,60,870000000
tangerang,3,72,166,1840000000
tangerang,6,120,120,1880000000
tangerang,2,64,48,1500000000
tangerang,3,110,99,1110000000
tangerang,3,65,67,940000000
tangerang,4,215,163,4650000000
tangerang,2,35,60,720000000
tangerang,3,105,129,3430000000
tangerang,3,150,257,1990000000
tangerang,4,70,55,940000000
tangerang,3,151,76,1440000000
tangerang,4,180,280,2330000000
tangerang,3,85,90,1050000000
tangerang,3,150,112,1660000000
tangerang,3,104,72,1220000000
tangerang,5,150,100,2750000000
tangerang,3,144,144,1660000000
tangerang,3,110,60,850000000
tangerang,4,70,60,510000000
tangerang,5,190,280,5640000000
tangerang,3,46,111,1110000000
tangerang,2,72,102,1990000000
tangerang,5,120,120,1330000000
tangerang,5,170,98,940000000
tangerang,4,85,89,1880000000
tangerang,3,186,160,1990000000
tangerang,3,90,131,1550000000
tangerang,3,270,170,2600000000
tangerang,3,138,60,940000000
tangerang,3,94,90,1410000000
tangerang,2,100,90,970000000
tangerang,4,262,250,2770000000
tangerang,3,100,130,890000000
tangerang,2,70,105,1110000000
tangerang,2,48,66,950000000
tangerang,5,120,231,3100000000
tangerang,3,55,84,1070000000
tangerang,3,80,115,1220000000
tangerang,3,119,119,1660000000
tangerang,3,92,144,1660000000
tangerang,3,200,260,3210000000
tangerang,3,168,95,2330000000
tangerang,2,57,77,1000000000
tangerang,4,250,180,4700000000
tangerang,4,150,100,2550000000
tangerang,2,58,90,1500000000
tangerang,3,170,150,3100000000
tangerang,2,102,108,1200000000
tangerang,3,64,50,1550000000
tangerang,3,69,55,1740000000
tangerang,3,64,50,1500000000
tangerang,3,69,55,1740000000
tangerang,3,100,74,1990000000
tangerang,2,75,48,900000000
tangerang,3,90,80,991000000
tangerang,3,60,90,1150000000
tangerang,2,47,53,576500000
tangerang,4,139,120,3500000000
tangerang,3,141,108,1600000000
tangerang,4,250,180,4700000000
tangerang,3,106,96,2900000000
tangerang,3,106,96,2900000000
tangerang,3,106,96,2900000000
tangerang,4,160,136,3700000000
tangerang,3,150,105,3000000000
tangerang,3,80,121,830000000
tangerang,4,380,222,5500000000
tangerang,3,82,126,1900000000
tangerang,2,72,66,2049999999
tangerang,5,170,90,2200000000
tangerang,4,600,375,10000000000
tangerang,4,202,135,3700000000
tangerang,5,170,90,2200000000
tangerang,2,72,66,2049999999
tangerang,3,60,72,1070000000
tangerang,4,176,120,3150000000
tangerang,4,126,136,3600000000
tangerang,3,110,60,750000000
tangerang,1,240,142,1300000000
tangerang,2,50,50,550000000
tangerang,4,198,198,2800000000
tangerang,3,175,200,3800000000
tangerang,4,104,120,2200000000
tangerang,5,140,164,2100000000
tangerang,5,300,300,3000000000
tangerang,5,150,100,2500000000
tangerang,3,86,84,2750000000
tangerang,2,48,61,799000000
tangerang,5,120,60,1100000000
tangerang,4,352,176,3900000000
tangerang,2,80,40,790000000
tangerang,4,200,180,4700000000
tangerang,5,120,77,2000000000
tangerang,4,88,63,838000000
tangerang,3,131,120,3900000000
tangerang,3,141,108,1600000000
tangerang,3,50,64,1350000000
tangerang,3,71,62,739000000
tangerang,4,300,180,5300000000
tangerang,3,108,60,1250000000
tangerang,2,51,47,575000000
tangerang,2,55,60,818000000
tangerang,3,88,97,1140000000
tangerang,3,87,60,1600000000
tangerang,1,39,37,462540000
tangerang,3,80,121,830000000
tangerang,3,64,50,1350000000
tangerang,2,70,40,800000000
tangerang,2,63,55,1650000000
tangerang,4,380,222,5450000000
tangerang,5,210,190,3100000000
tangerang,3,86,84,2750000000
tangerang,4,126,100,1400000000
tangerang,2,44,50,750000000
tangerang,2,50,50,475000000
tangerang,4,140,100,2650000000
tangerang,3,180,180,4500000000
tangerang,5,108,108,3250000000
tangerang,6,310,90,2100000000
tangerang,4,380,222,5500000000
tangerang,3,138,102,2250000000
tangerang,3,108,60,1250000000
tangerang,4,300,200,5000000000
tangerang,3,108,60,1250000000
tangerang,6,200,120,1680000000
tangerang,5,270,180,4700000000
tangerang,3,150,282,2600000000
tangerang,5,250,180,4700000000
tangerang,2,80,90,795000000
tangerang,3,83,83,730000000
tangerang,3,250,120,3400000000
tangerang,3,55,84,1100000000
tangerang,2,34,60,630000000
tangerang,4,380,222,5000000000
tangerang,4,95,107,3200000000
tangerang,3,110,126,2500000000
tangerang,3,130,144,4600000000
tangerang,5,180,96,1500000000
tangerang,3,160,80,835000000
tangerang,4,200,132,2000000000
tangerang,2,60,60,975000000
tangerang,3,131,120,3300000000
tangerang,5,380,220,5500000000
tangerang,4,220,156,2000000000
tangerang,6,275,250,4500000000
tangerang,2,64,64,1700000000
tangerang,2,60,60,1800000000
tangerang,5,200,242,2500000000
tangerang,4,288,308,5000000000
tangerang,3,64,50,1250000000
tangerang,5,450,237,8750000000
tangerang,4,90,90,1450000000
tangerang,3,145,150,4500000000
tangerang,3,240,200,3100000000
tangerang,3,140,128,3850000000
tangerang,3,141,108,1600000000
tangerang,4,128,90,1800000000
tangerang,4,380,222,5500000000
tangerang,4,239,200,5500000000
tangerang,3,141,108,1600000000
tangerang,5,130,120,2150000000
tangerang,3,180,144,1850000000
tangerang,4,230,230,5700000000
tangerang,2,90,90,1650000000
tangerang,2,41,72,868000000
tangerang,5,345,345,6000000000
tangerang,2,30,60,185000000
tangerang,3,90,72,1100000000
tangerang,2,36,60,500000000
tangerang,4,160,100,2800000000
tangerang,2,75,50,585000000
tangerang,2,42,60,800000000
tangerang,4,180,180,4500000000
tangerang,3,176,120,1100000000
tangerang,2,72,66,2000000000
tangerang,3,118,64,1200000000
tangerang,3,64,50,1390000000
tangerang,6,220,160,2750000000
tangerang,3,65,63,747000000
tangerang,5,600,220,3700000000
tangerang,5,180,180,4500000000
tangerang,5,150,255,2700000000
tangerang,4,450,237,8750000000
tangerang,2,30,60,370000000
tangerang,5,150,96,2450000000
tangerang,4,160,100,2800000000
tangerang,4,200,180,4500000000
tangerang,3,90,105,900000000
tangerang,3,120,60,1300000000
tangerang,4,380,222,5500000000
tangerang,2,54,90,1200000000
tangerang,3,125,90,2400000000
tangerang,3,120,90,2250000000
tangerang,2,77,77,890000000
tangerang,2,56,52,653000000
tangerang,3,147,120,3600000000
tangerang,3,131,120,3900000000
tangerang,2,50,60,735000000
tangerang,3,60,72,786220000
tangerang,3,75,60,1600000000
tangerang,3,75,90,1150000000
tangerang,1,33,33,165000000
tangerang,4,130,90,2600000000
tangerang,3,89,78,2190000000
tangerang,4,150,100,2800000000
tangerang,5,550,345,8500000000
tangerang,2,68,46,750000000
tangerang,3,80,121,830000000
tangerang,4,150,100,2500000000
tangerang,4,180,180,4500000000
tangerang,3,170,120,3500000000
tangerang,4,106,96,3000000000
tangerang,3,120,105,2800000000
tangerang,3,250,120,3400000000
tangerang,3,207,179,2700000000
tangerang,3,70,90,1200000000
tangerang,2,36,72,850000000
tangerang,4,200,180,4700000000
tangerang,3,84,55,1100000000
tangerang,3,120,144,1800000000
tangerang,4,380,222,5000000000
tangerang,3,60,72,1070000000
tangerang,4,160,311,3100000000
tangerang,3,110,55,1200000000
tangerang,3,130,120,3950000000
tangerang,3,86,66,1300000000
tangerang,4,150,310,5000000000
tangerang,3,90,72,1100000000
tangerang,3,110,60,700000000
tangerang,4,210,146,2500000000
tangerang,3,500,365,6500000000
tangerang,4,132,90,2350000000
tangerang,2,46,105,695000000
tangerang,3,91,126,2800000000
tangerang,3,70,90,1150000000
tangerang,2,99,60,1250000000
tangerang,2,76,74,1800000000
tangerang,3,90,97,675000000
tangerang,4,380,222,5500000000
tangerang,2,50,40,800000000
tangerang,4,180,180,4500000000
tangerang,3,122,77,1600000000
tangerang,4,106,96,2900000000
tangerang,3,90,90,2300000000
tangerang,3,140,90,1500000000
tangerang,4,160,200,2800000000
tangerang,3,91,112,2200000000
tangerang,4,200,180,4600000000
tangerang,3,500,365,6500000000
tangerang,2,41,72,868000000
tangerang,3,86,63,1330000000
tangerang,2,90,108,1150000000
tangerang,3,180,108,3250000000
tangerang,4,200,200,3300000000
tangerang,4,120,90,2700000000
tangerang,3,120,120,4300000000
tangerang,4,200,160,1850000000
tangerang,3,210,146,2600000000
tangerang,3,180,120,2200000000
tangerang,1,33,31,445970000
tangerang,3,207,179,2700000000
tangerang,4,240,90,2850000000
tangerang,3,91,140,2700000000
tangerang,3,120,120,3200000000
tangerang,2,87,60,1600000000
tangerang,3,122,96,4800000000
tangerang,5,400,688,8000000000
tangerang,5,250,200,2600000000
tangerang,5,550,600,10000000000
tangerang,5,380,222,5500000000
tangerang,5,242,200,2500000000
tangerang,4,250,126,3750000000
tangerang,4,150,100,2800000000
tangerang,5,120,113,1900000000
tangerang,3,60,90,2850000000
tangerang,3,266,140,2300000000
tangerang,2,75,48,1500000000
tangerang,5,140,95,1500000000
tangerang,5,260,250,4400000000
tangerang,3,104,120,2100000000
tangerang,4,312,264,7800000000
tangerang,3,120,60,1050000000
tangerang,4,180,108,2950000000
tangerang,3,108,78,1400000000
tangerang,5,150,100,2790000000
tangerang,3,86,66,1300000000
tangerang,3,141,108,1600000000
tangerang,4,110,120,1850000000
tangerang,4,135,77,1750000000
tangerang,3,60,100,900000000
tangerang,3,100,64,1890000000
tangerang,3,120,90,2300000000
tangerang,2,28,84,600000000
tangerang,5,300,180,5300000000
tangerang,4,98,98,990000000
tangerang,4,150,136,3700000000
tangerang,2,70,70,685000000
tangerang,3,135,450,3900000000
tangerang,2,70,70,750000000
tangerang,3,81,102,1300000000
tangerang,2,75,38,875000000
tangerang,1,36,36,165000000
tangerang,3,180,120,3150000000
tangerang,3,140,160,2800000000
tangerang,2,102,102,1100000000
tangerang,2,48,48,1250000000
tangerang,4,154,77,1600000000
tangerang,3,196,77,1600000000
tangerang,3,127,90,2400000000
tangerang,4,250,200,2350000000
tangerang,2,50,62,950000000
tangerang,3,122,61,850000000
tangerang,2,60,40,810000000
tangerang,2,50,60,850000000
tangerang,3,50,77,875000000
tangerang,4,106,96,2900000000
tangerang,3,132,66,1050000000
tangerang,6,1600,1200,35000000000
tangerang,2,76,98,950000000
tangerang,4,120,117,1950000000
tangerang,3,152,86,1800000000
tangerang,3,125,100,1400000000
tangerang,3,77,77,1590000000
tangerang,3,210,146,2600000000
tangerang,3,90,52,550000000
tangerang,3,100,70,980000000
tangerang,4,107,110,2500000000
tangerang,4,160,100,2800000000
tangerang,3,108,96,2900000000
tangerang,6,100,135,950000000
tangerang,8,300,170,3000000000
tangerang,2,55,60,475000000
tangerang,3,100,110,1200000000
tangerang,4,230,180,4700000000
tangerang,2,65,46,750000000
tangerang,4,250,180,7100000000
tangerang,2,144,72,1500000000
tangerang,3,150,100,2650000000
tangerang,3,150,150,4500000000
tangerang,3,52,52,1050000000
tangerang,3,140,100,2650000000
tangerang,5,165,108,3500000000
tangerang,3,100,65,1350000000
tangerang,4,125,120,2100000000
tangerang,2,35,35,225000000
tangerang,5,247,107,1700000000
tangerang,4,140,128,2400000000
tangerang,3,105,90,2200000000
tangerang,4,114,134,2170000000
tangerang,3,64,50,1340000000
tangerang,3,64,50,1550000000
tangerang,3,91,112,2000000000
tangerang,4,120,120,3200000000
tangerang,4,380,222,5500000000
tangerang,3,108,72,1150000000
tangerang,4,114,134,2170000000
tangerang,4,114,134,2170000000
tangerang,3,36,60,486000000
tangerang,5,600,320,5500000000
tangerang,3,75,75,750000000
tangerang,6,996,1211,9950000000
tangerang,3,64,50,1500000000
