Title,Address,Price,Bedrooms,Building Area (m²),Land Area (m²),rejection_reason
jual cepat rumah sukmajaya depok ,"sukmajaya sukmajaya, depok",rp 630jt,2.0,9m²,114m²,Impossible bedroom density; 
di jual rumah siap huni di depok,"griya kencana sukmajaya, depok","rp 2,20m",4.0,36m²,157m²,Impossible bedroom density; 
rumah murah mezzanine modern 3 kamar tidur dkt stasiun citayam," citayam, depok",rp 238jt,3.0,30m²,50m²,Impossible bedroom density; 
dijual rumah take over murah di depok 45 juta saja,"jalan raya cipayung depok cipayung, depok",rp 30jt,2.0,39m²,68m²,Unrealistically low price for land area; 
over kredit 60jt nego tugu macan citayam," cipayung, depok",rp 60jt,2.0,4m²,60m²,Impossible bedroom density; 
rumah murah didepok dekat stasiun citayam.ede," cipayung, depok",rp 285jt,2.0,3m²,40m²,Impossible bedroom density; 
rumah murah didepok dekat stasiun citayam.ede," cipayung, depok",rp 407jt,2.0,6m²,36m²,Impossible bedroom density; 
rmh 2 lantai di cluster terbaik yang pernah ada ,"jl. pemda - pakansari cibinong  beji, depok",rp 500jt,60.0,60m²,60m²,Impossible bedroom density; 
rumah 2 lantai kuldesak dalam townhouse di beji depok,"jalan halmahera, beji kel., beji, depok, 16421, indonesia beji, depok","rp 1,45m",34.0,155m²,98m²,Impossible bedroom density; 
rumah mewah siap huni di selatan jakarta," beji, depok","rp 1,50m",3.0,105m²,2m²,Impossible building-to-land ratio; 
rumah klasik tanah baru lokasi strategis bebas banjir," beji, depok","rp 1,29m",4.0,125000666m²,85m²,Impossible building-to-land ratio; 
rumah keren minimalis modern  di cinere,"cinere limo, depok","rp 2,15m",34.0,200m²,144m²,Impossible bedroom density; 
dijual rumah di limo depok 5 menit ke pintu tol bebas biaya2 ,"jl limo depok limo, depok",rp 499jt,3.0,2m²,30m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah mewah di pusat kota depok green cemara town house,"komo, krukut, kota depok limo, depok",rp 850jt,3.0,65m²,97850m²,Unrealistically low price for land area; 
cinere limo tanah 138 dalam cluster,"138 cinere, limo ind limo, depok","rp 1,08m",1.0,0m²,138m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah 2 lantai luas ideal keluarga! di taman sari harapan indah,"taman sari hi2 harapan indah, bekasi","rp 1,50m",4.0,12m²,126m²,Impossible bedroom density; 
dijual rumah siaphuni harga murah di boulevard hijau bekasi,"boulevard hijau harapan indah, bekasi",rp 965jt,3.0,0m²,94m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah full furnish di perumahan alamanda harapan indah," harapan indah, bekasi","rp 1,30m",3.0,94m²,0m²,Impossible building-to-land ratio; 
siapa cepat dapat! rumah rapi murah di cluster taman sari," harapan indah, bekasi","rp 1,40m",4.0,150m²,1441400000m²,Unrealistically low price for land area; 
"dijual termurah rumah di taman harapan  baru,harapan indah bekasi","taman harapan baru harapan indah, bekasi",rp 440jt,60.0,45m²,60m²,Impossible bedroom density; 
dijual rumah cantik," harapan indah, bekasi","rp 1,40m",4.0,1.5m²,144m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual cepat rumah di komplek alamanda," bekasi utara, bekasi",rp 550jt,2.0,6m²,12m²,Impossible bedroom density; 
jual rumah murah bebas banjir di jalan alpukat raya bisa kpr,"jl. alpukat raya 20-26, rt.007/rw.011, pejuang, kecamatan medan satria, kota bks, jawa barat 17131 medan satria, bekasi","rp 1,22m",4.0,7102m²,76m²,Impossible building-to-land ratio; 
